Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
8/7/2018 16:00:00,51.78,8/7/2018 16:00:00,108.88,8/7/2018 16:00:00,1862.48,8/7/2018 16:00:00,183.81,8/7/2018 16:00:00,75.91,8/7/2018 16:00:00,1255.84,8/7/2018 16:00:00,1242.22,12/7/2018 15:00:00,4160,8/7/2018 16:00:00,131.46,8/7/2018 16:00:00,117.55
8/8/2018 16:00:00,51.81,8/8/2018 16:00:00,109.49,8/8/2018 16:00:00,1886.52,8/8/2018 16:00:00,185.18,8/8/2018 16:00:00,74.07,8/8/2018 16:00:00,1261.33,8/8/2018 16:00:00,1245.61,12/10/2018 15:00:00,4125,8/8/2018 16:00:00,131.17,8/8/2018 16:00:00,117.79
8/9/2018 16:00:00,52.22,8/9/2018 16:00:00,109.67,8/9/2018 16:00:00,1898.52,8/9/2018 16:00:00,183.09,8/9/2018 16:00:00,70.49,8/9/2018 16:00:00,1264.46,8/9/2018 16:00:00,1249.1,12/11/2018 15:00:00,4105,8/9/2018 16:00:00,131.2,8/9/2018 16:00:00,116.88
8/10/2018 16:00:00,51.88,8/10/2018 16:00:00,109,8/10/2018 16:00:00,1886.3,8/10/2018 16:00:00,180.26,8/10/2018 16:00:00,71.1,8/10/2018 16:00:00,1252.51,8/10/2018 16:00:00,1237.61,12/13/2018 15:00:00,4106,8/10/2018 16:00:00,130.75,8/10/2018 16:00:00,115.73
8/13/2018 16:00:00,52.22,8/13/2018 16:00:00,108.21,8/13/2018 16:00:00,1896.2,8/13/2018 16:00:00,180.05,8/13/2018 16:00:00,71.28,8/13/2018 16:00:00,1248.64,8/13/2018 16:00:00,1235.01,12/14/2018 15:00:00,4200,8/13/2018 16:00:00,130.22,8/13/2018 16:00:00,113.89
8/14/2018 16:00:00,52.44,8/14/2018 16:00:00,109.56,8/14/2018 16:00:00,1919.65,8/14/2018 16:00:00,181.11,8/14/2018 16:00:00,69.53,8/14/2018 16:00:00,1258.14,8/14/2018 16:00:00,1242.1,12/17/2018 15:00:00,3986,8/14/2018 16:00:00,129.5,8/14/2018 16:00:00,114.65
8/15/2018 16:00:00,52.56,8/15/2018 16:00:00,107.66,8/15/2018 16:00:00,1882.62,8/15/2018 16:00:00,179.53,8/15/2018 16:00:00,67.74,8/15/2018 16:00:00,1232.22,8/15/2018 16:00:00,1214.38,12/18/2018 15:00:00,3984.98,8/15/2018 16:00:00,130.43,8/15/2018 16:00:00,113.7
8/16/2018 16:00:00,53.33,8/16/2018 16:00:00,107.64,8/16/2018 16:00:00,1886.52,8/16/2018 16:00:00,174.7,8/16/2018 16:00:00,67.09,8/16/2018 16:00:00,1224.06,8/16/2018 16:00:00,1206.49,12/19/2018 15:00:00,3920,8/16/2018 16:00:00,132.48,8/16/2018 16:00:00,114.77
8/17/2018 16:00:00,54.4,8/17/2018 16:00:00,107.58,8/17/2018 16:00:00,1882.22,8/17/2018 16:00:00,173.8,8/17/2018 16:00:00,61.1,8/17/2018 16:00:00,1215.85,8/17/2018 16:00:00,1200.96,12/20/2018 15:00:00,3820,8/17/2018 16:00:00,134.47,8/17/2018 16:00:00,114.77
8/20/2018 16:00:00,53.87,8/20/2018 16:00:00,106.87,8/20/2018 16:00:00,1876.71,8/20/2018 16:00:00,172.5,8/20/2018 16:00:00,61.69,8/20/2018 16:00:00,1221.95,8/20/2018 16:00:00,1207.77,12/21/2018 15:00:00,3829.87,8/20/2018 16:00:00,136.88,8/20/2018 16:00:00,114.62
8/21/2018 16:00:00,53.76,8/21/2018 16:00:00,105.98,8/21/2018 16:00:00,1883.42,8/21/2018 16:00:00,172.62,8/21/2018 16:00:00,64.38,8/21/2018 16:00:00,1217.41,8/21/2018 16:00:00,1201.62,12/24/2018 12:10:00,3748,8/21/2018 16:00:00,135.35,8/21/2018 16:00:00,115.32
8/22/2018 16:00:00,53.76,8/22/2018 16:00:00,107.06,8/22/2018 16:00:00,1904.9,8/22/2018 16:00:00,173.64,8/22/2018 16:00:00,64.33,8/22/2018 16:00:00,1221.75,8/22/2018 16:00:00,1207.33,12/26/2018 15:00:00,3915,8/22/2018 16:00:00,134.61,8/22/2018 16:00:00,114.97
8/23/2018 16:00:00,53.87,8/23/2018 16:00:00,107.56,8/23/2018 16:00:00,1902.9,8/23/2018 16:00:00,172.9,8/23/2018 16:00:00,64.02,8/23/2018 16:00:00,1221.16,8/23/2018 16:00:00,1205.38,12/27/2018 15:00:00,3850,8/23/2018 16:00:00,135.11,8/23/2018 16:00:00,114.73
8/24/2018 16:00:00,54.04,8/24/2018 16:00:00,108.4,8/24/2018 16:00:00,1905.39,8/24/2018 16:00:00,174.65,8/24/2018 16:00:00,64.56,8/24/2018 16:00:00,1236.75,8/24/2018 16:00:00,1220.65,12/28/2018 15:00:00,4010,8/24/2018 16:00:00,135.95,8/24/2018 16:00:00,114.68
8/27/2018 16:00:00,54.49,8/27/2018 16:00:00,109.6,8/27/2018 16:00:00,1927.68,8/27/2018 16:00:00,177.46,8/27/2018 16:00:00,63.85,8/27/2018 16:00:00,1256.27,8/27/2018 16:00:00,1241.82,12/31/2018 15:00:00,4015.37,8/27/2018 16:00:00,134.92,8/27/2018 16:00:00,116.71
8/28/2018 16:00:00,54.93,8/28/2018 16:00:00,110.26,8/28/2018 16:00:00,1932.82,8/28/2018 16:00:00,176.26,8/28/2018 16:00:00,62.37,8/28/2018 16:00:00,1245.86,8/28/2018 16:00:00,1231.15,1/3/2019 15:00:00,3775,8/28/2018 16:00:00,134.32,8/28/2018 16:00:00,116.14
8/29/2018 16:00:00,55.75,8/29/2018 16:00:00,112.02,8/29/2018 16:00:00,1998.1,8/29/2018 16:00:00,175.9,8/29/2018 16:00:00,61,8/29/2018 16:00:00,1264.65,8/29/2018 16:00:00,1249.3,1/4/2019 15:00:00,3812,8/29/2018 16:00:00,134.86,8/29/2018 16:00:00,115.76
8/30/2018 16:00:00,56.26,8/30/2018 16:00:00,111.95,8/30/2018 16:00:00,2002.38,8/30/2018 16:00:00,177.64,8/30/2018 16:00:00,60.63,8/30/2018 16:00:00,1254.44,8/30/2018 16:00:00,1239.12,1/7/2019 15:00:00,3805,8/30/2018 16:00:00,134.95,8/30/2018 16:00:00,115.19
8/31/2018 16:00:00,56.91,8/31/2018 16:00:00,112.33,8/31/2018 16:00:00,2012.71,8/31/2018 16:00:00,175.73,8/31/2018 16:00:00,60.33,8/31/2018 16:00:00,1231.8,8/31/2018 16:00:00,1218.19,1/8/2019 15:00:00,3783.92,8/31/2018 16:00:00,134.69,8/31/2018 16:00:00,114.58
9/4/2018 16:00:00,57.09,9/4/2018 16:00:00,111.71,9/4/2018 16:00:00,2039.51,9/4/2018 16:00:00,171.16,9/4/2018 16:00:00,57.79,9/4/2018 16:00:00,1211.31,9/4/2018 16:00:00,1197,1/9/2019 15:00:00,3770,9/4/2018 16:00:00,133.72,9/4/2018 16:00:00,115.15
9/5/2018 16:00:00,56.72,9/5/2018 16:00:00,108.49,9/5/2018 16:00:00,1994.82,9/5/2018 16:00:00,167.18,9/5/2018 16:00:00,56.15,9/5/2018 16:00:00,1199.1,9/5/2018 16:00:00,1186.48,1/10/2019 15:00:00,3800,9/5/2018 16:00:00,135.86,9/5/2018 16:00:00,114.59
9/6/2018 16:00:00,55.78,9/6/2018 16:00:00,108.74,9/6/2018 16:00:00,1958.31,9/6/2018 16:00:00,162.53,9/6/2018 16:00:00,56.19,9/6/2018 16:00:00,1183.99,9/6/2018 16:00:00,1171.44,1/11/2019 15:00:00,3883.1,9/6/2018 16:00:00,136.87,9/6/2018 16:00:00,114.1
9/7/2018 16:00:00,55.33,9/7/2018 16:00:00,108.21,9/7/2018 16:00:00,1952.07,9/7/2018 16:00:00,163.04,9/7/2018 16:00:00,52.65,9/7/2018 16:00:00,1177.59,9/7/2018 16:00:00,1164.83,1/14/2019 15:00:00,3883.1,9/7/2018 16:00:00,137.32,9/7/2018 16:00:00,114.32
9/10/2018 16:00:00,54.58,9/10/2018 16:00:00,109.38,9/10/2018 16:00:00,1939.01,9/10/2018 16:00:00,164.18,9/10/2018 16:00:00,57.1,9/10/2018 16:00:00,1175.06,9/10/2018 16:00:00,1164.64,1/15/2019 15:00:00,3800,9/10/2018 16:00:00,137.21,9/10/2018 16:00:00,113.71
9/11/2018 16:00:00,55.96,9/11/2018 16:00:00,111.24,9/11/2018 16:00:00,1987.15,9/11/2018 16:00:00,165.94,9/11/2018 16:00:00,55.89,9/11/2018 16:00:00,1189.99,9/11/2018 16:00:00,1177.36,1/16/2019 15:00:00,3752,9/11/2018 16:00:00,138.51,9/11/2018 16:00:00,114.43
